0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
0000000000	0000000000
001eba8000	0000000000
ffd9cacb70	0000c72000
001e29de98	000075e800
00191563b8	0001fb9b80
000d724778	00025d9e80
ffd2841df8	fffe057fa0
002b849ad8	fffa904550
002a877ec0	0000eb0df0
ffe7f79a1a	000531f254
ffbea384dc	00064c6984
ffe1d85f8f	0000f4b610
ffe1d362f8	000195fc64
fffe9526f5	fff76ea8a0
ffbfe50446	fff25169b8
ffd384a35f	fff8398ec4
00469e544b	fffded5f78
00389c991d	0001833f2c
ffeb3a6af3	0009a5cdc8
003cd456d8	fffd57e8e4
002ab99b22	fffc55fc2c
005238f9ca	00062f9e90
ffad0551b8	0000ca912f
ff8a9713ec	fff3e1da6b
0014d4d8dc	fff3407d30
00198a53bf	fffd9b767f
ffc5bc7e5c	fff2247da8
ff91f11369	ffe2e16469
00883c4033	fffa88c3e2
002b336277	001e2f02c0
0002490f64	00025c72c9
000f0686df	0012fdb8a5
0071dd322f	0046e40e27
0078b674eb	00592a25c7
ff90ae2a07	fff47d26da
ff38263748	fffad194f9
ff91e56035	0006c05774
006831b1e3	ffe924033c
ffb1dff36b	fffa6cd7ac
ff1a22de51	000e3bc8df
0051dfa7dd	ffecadfc78
004b4ab460	00060110e3
fff8b18452	ff93dc1e46
ffb4c0c37c	ffe80c861c
009e058a97	fff3b7bd0c
0043e420f7	000aa6a32f
ff6d58fb13	002b66496c
00e57228a3	000d5be6fb
ffde4f9c82	0030245858
00702571b7	0054a54571
005e01a7e9	001745335e
ffb074bdca	ffe85e27a9
ffbbe1d767	ffb1f27769
ff938d372c	0019ed36f3
006c5fe71b	ffb510b437
ff2247d1d2	ffcaec97ae
ffc685e06f	ffbfa666ca
00cb82c4ed	ffd1dd6fff
ffcf1dcd36	ffec895167
ff2d8d8dba	ffb27d3efd
ffe8691092	ffd2ef40d5
01458d1778	004f033218
fff31bf7c3	00108aa45b
0078c0c1de	00967da9eb
0002a607a2	0039d4c322
ff944f2263	0009b23820
000768f1b9	004650cf3e
ff2daf4598	001131f3e6
00bf57d123	002834cb29
0001e896d1	ffb6f0dbc9
ffe0ffb2dd	ffd8c06604
00263bca77	ffdbbeb7ae
ff35b3a65f	ffbcecc037
01011f3116	00b1c71988
004fc2556c	ffc597837d
00b7ddeb26	ffe25040b1
0032078000	ff8e38143d
00bd2b9436	ff6287eebf
ff37176136	00a6e03543
ffaa64563b	ffdde3de8a
008499e65d	003de4ca39
feb789e62d	0017613e12
002099572f	000dc4e868
0059d4b426	ffc1894e9e
fff3977beb	000da8a733
006aeb3121	ffd48a3464
001b3efd9e	0005d1f3ad
fffc2a21c0	ffb19beac6
ffbac54f02	ff81d1ef22
013984a399	ffd8e2c2c9
00f5f58bc8	ffe64007e2
0052359fe0	ffc4001f53
ff5ffba40f	ffa9494b41
ffde4b771e	ff76185b9f
01504e49cc	005dc93efa
